Close,Volume,MA_7,BollingerB1_7,BollingerB2_7,SOk,SOd_7,MACD_15_26,MACDSign_15_26,MACDDiff_15_26,pred
339.589996,147900000,339.88713728571423,0.013558720922471387,0.43552229855540747,0.7686578915160851,0.6360355035867048,-1.0930509888391953,-1.516857145478162,0.4238061566389668,341.910004
341.910004,145730000,340.2242824285713,0.016024841980217707,0.8091909558550997,0.9957043231873552,0.7259527084868674,-0.8951511657557489,-1.3925159495336796,0.4973647837779307,343.97000099999997
343.97000099999997,86290000,341.0785697142856,0.01859002023941106,0.9560144242502885,0.8841241964543933,0.7654955804787489,-0.621619969593155,-1.2383367535455747,0.6167167839524197,345.609985
345.609985,149390000,341.8028519999999,0.026877088940649177,0.9144194579023178,0.7224634128183087,0.7547375385636389,-0.3107356026133061,-1.052816523359121,0.7420809207458148,345.769989
345.769989,153770000,342.5442808571428,0.0309110361038424,0.8046455139007682,0.7083317925210761,0.7431361020529982,-0.047836160823067075,-0.85182045085191,0.803984290028843,343.600006
343.600006,147270000,342.8285695714285,0.03076613050059857,0.5731392089216092,0.09959361063301614,0.5822504791980027,0.05509560600535224,-0.6704372394804575,0.7255328454858098,345.98999
345.98999,153200000,343.7771387142856,0.027417223962053355,0.7347749495865266,0.8259347377280362,0.643171543830511,0.2596914022228134,-0.48441151113980335,0.7441029133626167,350.630005
350.630005,199200000,345.3542828571427,0.03183637446747139,0.9798367024812963,0.7877764318087477,0.6793227658250701,0.6593443954339477,-0.2556603298250531,0.9150047252590008,351.410004
351.410004,150360000,346.7114257142856,0.03563666744072435,0.8802780245188827,0.9159615563994346,0.7384824634686612,1.0167544603463625,-0.0011773717907698881,1.0179318321371325,349.579987
349.579987,154640000,347.51285228571413,0.034359752648335025,0.6731202539883857,0.0,0.5538618476014958,1.2037130966378982,0.23980072189496382,0.9639123747429343,348.549988
348.549988,145850000,347.9328527142856,0.033082872553023064,0.5536144344064966,0.31526336479148104,0.49421222689899214,1.2915850695904965,0.4501575914340704,0.841427478156426,347.589996
347.589996,161980000,348.19285371428566,0.031338897684538965,0.4447526752894693,0.41406188964779944,0.47417464258619396,1.3019300377734453,0.6205120807019455,0.6814179570714998,348.690002
348.690002,144910000,348.9199959999999,0.020984291603695655,0.46858794603261694,0.5472639439604755,0.4924469679297644,1.354275294053366,0.7672647233722297,0.5870105706811363,348.559998
348.559998,147130000,349.2871399999999,0.015296319276737387,0.36390264207311657,0.9234068447536794,0.6001869371357432,1.3775244850760373,0.8893166757129914,0.48820780936304586,351.730011
351.730011,176820000,349.44428371428563,0.01791459697621946,0.8651232006775484,0.8736890415677703,0.66856246324375,1.5450416260890165,1.0204616657881966,0.5245799603008199,352.75
352.75,184660000,349.63571171428566,0.021658119885447275,0.9112654949399591,0.4489798417313878,0.6136668078656594,1.7183994752792273,1.1600492276864027,0.5583502475928246,350.929993
350.929993,178700000,349.82856971428566,0.022345426854274646,0.640899782989989,0.3183527570839591,0.5398382951702343,1.7502547885094941,1.278090339851021,0.47216444865847307,350.140015
350.140015,240390000,350.05571642857143,0.02138564809614867,0.5112605764807655,0.7024272326737836,0.5804855295461216,1.7196270673904337,1.3663976853589037,0.35322938203153,343.690002
343.690002,184750000,349.4985744285714,0.03410706439882427,0.0127187964126897,0.17261213833873265,0.4785171817442744,1.350417584378249,1.363201665162773,-0.012784080784523866,342.459991
342.459991,186060000,348.60857285714286,0.046046829101258874,0.11696613975124708,0.6885635835653957,0.5310287821995547,0.9761462154158949,1.2857905752133973,-0.3096443597975025,342.839996
342.839996,176520000,347.7914297142857,0.052543355546182,0.22904679710149384,0.5497305501614279,0.5357042241900231,0.683230812641682,1.1652786226990544,-0.4820478100573724,344.77999900000003
344.77999900000003,175150000,346.7985708571428,0.04980726209297016,0.38313774945588375,0.8858449052352921,0.6232393944513402,0.5383853306472588,1.0398999642886952,-0.5015146336414364,347.420013
