Generation,Train,Test
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1.04478,1
38,1.04478,1
39,1.04478,1
40,1.04478,1
41,1.04478,1
42,1.04478,1
43,1.09974,1
44,1.09974,1
45,1.09974,1
46,1.09974,1
47,1.09974,1
48,1.12008,1
49,1.16409,1
50,1.19836,1
51,1.21389,1
52,1.31306,1
53,1.33579,1
54,1.33579,1
55,1.33579,1
56,1.33579,1
57,1.33579,1
58,1.33579,1
59,1.33579,1
60,1.33579,1
61,1.33579,1
62,1.33579,1
63,1.33579,1
64,1.33579,1
65,1.33579,1
66,1.33579,1
67,1.33579,1
68,1.33579,1
69,1.33579,1
70,1.33579,1
71,1.33579,1
72,1.33579,1
73,1.33579,1
74,1.33579,1
75,1.33579,1
76,1.33579,1
77,1.33579,1
78,1.33579,1
79,1.33579,1
80,1.33579,1
81,1.33579,1
82,1.33579,1
83,1.33579,1
84,1.33579,1
85,1.33579,1
86,1.33579,1
87,1.33579,1
88,1.33579,1
89,1.33579,1
90,1.33579,1
91,1.33579,1
92,1.33579,1
93,1.33579,1
94,1.33579,1
95,1.33579,1
96,1.33579,1
97,1.33579,1
98,1.33579,1
99,1.33579,1
100,1.33579,1
101,1.33579,1
102,1.33579,1
103,1.33579,1
104,1.33579,1
105,1.33579,1
106,1.33579,1
107,1.33579,1
108,1.34293,1
109,1.34293,1
110,1.34293,1
111,1.34293,1
112,1.34293,1
113,1.34293,1
114,1.34293,1
115,1.35364,1
116,1.35364,1
117,1.35364,1
118,1.35364,1
119,1.35364,1
120,1.36078,1
121,1.36078,1
122,1.3609,1
123,1.39254,1
124,1.39254,1
125,1.39254,1
126,1.42398,1
127,1.42398,1
128,1.42398,1
129,1.42398,1
130,1.42398,1
131,1.42398,1
132,1.42398,1
133,1.42398,1
134,1.42398,1
135,1.42398,1
136,1.42398,1
137,1.42398,1
138,1.42398,1
139,1.42398,1
140,1.42398,1
141,1.42398,1
142,1.42398,1
143,1.42398,1
144,1.42398,1
145,1.42398,1
146,1.42398,1
147,1.42398,1
148,1.42398,1
149,1.42398,1
150,1.42398,1
151,1.42398,1
152,1.42398,1
153,1.42398,1
154,1.4241,1
155,1.4241,1
156,1.43446,1
157,1.43446,1
158,1.43446,1
159,1.43446,1
160,1.43446,1
161,1.43446,1
162,1.43446,1
163,1.43446,1
164,1.43446,1
165,1.43446,1
166,1.43446,1
167,1.43446,1
168,1.43446,1
169,1.43446,1
170,1.43446,1
171,1.43446,1
172,1.43446,1
173,1.43446,1
174,1.43446,1
175,1.43446,1
176,1.43446,1
177,1.43446,1
178,1.43446,1
179,1.43446,1
180,1.43446,1
181,1.43446,1
182,1.43446,1
183,1.43446,1
184,1.43446,1
185,1.43446,1
186,1.43446,1
187,1.43446,1
188,1.43446,1
189,1.43446,1
190,1.43446,1
191,1.43446,1
192,1.43446,1
193,1.43446,1
194,1.43446,1
195,1.43446,1
196,1.43446,1
197,1.43446,1
198,1.43446,1
199,1.44442,1
200,1.44442,1
201,1.44442,1
202,1.44442,1
203,1.44442,1
204,1.44442,1
205,1.44442,1
206,1.44442,1
207,1.44442,1
208,1.44442,1
209,1.44442,1
210,1.44442,1
211,1.44442,1
212,1.44442,1
213,1.44442,1
214,1.44442,1
215,1.44442,1
216,1.44442,1
217,1.44442,1
218,1.44442,1
219,1.44442,1
220,1.44442,1
221,1.44442,1
222,1.44442,1
223,1.44442,1
224,1.44442,1
225,1.44442,1
226,1.44442,1
227,1.44442,1
228,1.44442,1
229,1.46277,1
230,1.46277,1
231,1.4767,1
232,1.4767,1
233,1.4767,1
234,1.4767,1
235,1.47708,1
236,1.47708,1
237,1.47708,1
238,1.47708,1
239,1.48295,1.11247
240,1.55176,1.06536
241,1.55176,1.06536
242,1.61917,1.13233
243,1.62554,1.13233
244,1.62554,1.13233
245,1.73275,1.14257
246,1.7412,1.17013
247,1.7412,1.17013
248,1.7412,1.17013
249,1.75379,1.12586
250,1.86892,1.12586
251,1.86892,1.12586
252,1.86892,1.12586
253,1.8713,1.1813
254,1.8713,1.1813
255,1.9334,1.1685
256,1.9334,1.1685
257,1.9334,1.1685
258,1.9334,1.1685
259,1.9334,1.1685
260,1.9334,1.1685
261,1.9334,1.1685
262,1.9334,1.1685
263,1.9334,1.1685
264,1.9334,1.1685
265,1.9334,1.1685
266,1.9334,1.1685
267,1.9334,1.1685
268,1.9334,1.1685
269,1.9334,1.1685
270,1.9334,1.1685
271,1.9334,1.1685
272,1.9334,1.1685
273,1.9334,1.1685
274,1.9334,1.1685
275,1.9334,1.1685
276,1.9334,1.1685
277,1.9334,1.1685
278,1.9334,1.1685
279,1.9334,1.1685
280,1.9334,1.1685
281,1.9334,1.1685
282,1.9334,1.1685
283,1.9334,1.1685
284,1.9334,1.1685
285,1.9334,1.1685
286,1.9334,1.1685
287,1.9334,1.1685
288,1.9334,1.1685
289,1.9334,1.1685
290,1.9334,1.1685
291,1.9334,1.1685
292,1.9334,1.1685
293,1.9334,1.1685
294,1.9334,1.1685
295,1.9334,1.1685
296,1.9334,1.1685
297,1.9334,1.1685
298,1.9334,1.1685
299,1.9334,1.1685
300,1.9334,1.1685
301,1.9334,1.1685
302,1.9334,1.1685
303,1.9334,1.1685
304,1.9334,1.1685
305,1.9334,1.1685
306,1.9334,1.1685
307,1.9334,1.1685
308,1.9334,1.1685
309,1.9334,1.1685
310,1.9334,1.1685
311,1.9334,1.1685
312,1.9334,1.1685
313,1.9334,1.1685
314,1.9334,1.1685
315,1.9334,1.1685
316,1.9334,1.1685
317,1.9334,1.1685
318,1.9334,1.1685
319,1.9334,1.1685
320,1.9334,1.1685
321,1.9334,1.1685
322,1.9334,1.1685
323,1.9334,1.1685
324,1.9334,1.1685
325,1.9334,1.1685
326,1.9334,1.1685
327,1.9334,1.1685
328,1.9334,1.1685
329,1.9334,1.1685
330,1.9334,1.1685
331,1.9334,1.1685
332,1.9334,1.1685
333,1.9334,1.1685
334,1.9334,1.1685
335,1.9334,1.1685
336,1.9334,1.1685
337,1.9334,1.1685
338,1.9334,1.1685
339,1.9334,1.1685
340,1.9334,1.1685
341,1.9334,1.1685
342,1.9334,1.1685
343,1.94614,1.1685
344,1.94614,1.1685
345,1.94614,1.1685
346,1.94614,1.1685
347,1.94614,1.1685
348,1.94614,1.1685
349,1.94614,1.1685
350,1.94614,1.1685
351,1.94614,1.1685
352,1.94614,1.1685
353,1.94614,1.1685
354,1.94614,1.1685
355,1.94614,1.1685
356,1.94614,1.1685
357,1.94614,1.1685
358,1.94614,1.1685
359,1.94614,1.1685
360,1.94614,1.1685
361,1.94614,1.1685
362,1.94614,1.1685
363,1.94614,1.1685
364,1.94614,1.1685
365,1.94614,1.1685
366,1.94614,1.1685
367,1.94614,1.1685
368,1.94614,1.1685
369,1.94614,1.1685
370,1.94614,1.1685
371,1.94614,1.1685
372,1.94614,1.1685
373,1.94614,1.1685
374,1.94614,1.1685
375,1.94614,1.1685
376,1.94614,1.1685
377,1.94614,1.1685
378,1.94614,1.1685
379,1.94614,1.1685
380,1.94614,1.1685
381,1.94614,1.1685
382,1.94614,1.1685
383,1.94614,1.1685
384,1.94614,1.1685
385,1.94614,1.1685
386,1.97118,1.00939
387,1.97118,1.00939
388,1.97118,1.00939
389,1.97118,1.00939
390,1.97118,1.00939
391,1.97118,1.00939
392,1.97705,1.00939
393,1.97705,1.00939
394,1.99248,1.00939
395,1.99248,1.00939
396,1.99248,1.00939
397,1.99248,1.00939
398,2.02166,0.936403
399,2.02166,0.936403
400,2.02166,0.936403
401,2.02166,0.936403
402,2.02166,0.936403
403,2.02166,0.936403
404,2.023,0.936403
405,2.023,0.936403
406,2.02545,1.00528
407,2.02545,1.00528
408,2.02605,1.00528
409,2.0416,0.936403
410,2.0416,0.936403
411,2.0416,0.936403
412,2.0416,0.936403
413,2.0416,0.936403
414,2.0416,0.936403
415,2.0416,0.936403
416,2.0416,0.936403
417,2.0416,0.936403
418,2.0416,0.936403
419,2.0416,0.936403
420,2.0416,0.936403
421,2.0416,0.936403
422,2.0416,0.936403
423,2.0416,0.936403
424,2.0416,0.936403
425,2.05375,0.936403
426,2.05375,0.936403
427,2.05375,0.936403
428,2.05375,0.936403
429,2.05375,0.936403
430,2.05375,0.936403
431,2.05375,0.936403
432,2.05375,0.936403
433,2.05375,0.936403
434,2.05375,0.936403
435,2.05375,0.936403
436,2.05375,0.936403
437,2.05375,0.936403
438,2.05375,0.936403
439,2.05679,1.00528
440,2.05679,1.00528
441,2.05679,1.00528
442,2.06131,0.936403
443,2.06131,0.936403
444,2.06131,0.936403
445,2.06131,0.936403
446,2.06131,0.936403
447,2.06131,0.936403
448,2.06131,0.936403
449,2.06131,0.936403
450,2.06131,0.936403
451,2.06131,0.936403
452,2.06131,0.936403
453,2.06131,0.936403
454,2.06131,0.936403
455,2.0975,0.936403
456,2.0975,0.936403
457,2.0975,0.936403
458,2.0975,0.936403
459,2.0975,0.936403
460,2.0975,0.936403
461,2.0975,0.936403
462,2.0975,0.936403
463,2.0975,0.936403
464,2.0975,0.936403
465,2.0975,0.936403
466,2.0975,0.936403
467,2.0975,0.936403
468,2.0975,0.936403
469,2.0975,0.936403
470,2.0975,0.936403
471,2.0975,0.936403
472,2.0975,0.936403
473,2.0975,0.936403
474,2.0975,0.936403
475,2.0975,0.936403
476,2.0975,0.936403
477,2.0975,0.936403
478,2.0975,0.936403
479,2.0975,1.39917
480,2.0975,1.39917
481,2.0975,1.39917
482,2.0975,1.39917
483,2.0975,1.39917
484,2.0975,1.39917
485,2.0975,1.39917
486,2.0975,1.39917
487,2.0975,1.39917
488,2.0975,1.39917
489,2.0975,1.39917
490,2.0975,1.39917
491,2.0975,1.39917
492,2.0975,1.39917
493,2.0975,1.39917
494,2.0975,1.39917
495,2.0975,1.39917
496,2.0975,1.39917
497,2.0975,1.39917
498,2.0975,1.39917
499,2.0975,1.39917
500,2.0975,1.39917
501,2.0975,1.39917
502,2.0975,1.39917
503,2.0975,1.39917
504,2.0975,1.39917
505,2.0975,1.39917
506,2.0975,1.39917
507,2.0975,1.39917
508,2.0975,1.39917
509,2.0975,1.39917
510,2.0975,1.39917
511,2.0975,1.39917
512,2.0975,1.39917
513,2.0975,1.39917
514,2.0975,1.39917
515,2.0975,1.39917
516,2.0975,1.39917
517,2.0975,1.39917
518,2.0975,1.39917
519,2.0975,1.39917
520,2.0975,1.39917
521,2.0975,1.39917
522,2.0975,1.39917
523,2.0975,1.39917
524,2.0975,1.39917
525,2.0975,1.39917
526,2.0975,1.39917
527,2.0975,1.39917
528,2.0975,1.39917
529,2.0975,1.39917
530,2.0975,1.39917
531,2.0975,1.39917
532,2.0975,1.39917
533,2.0975,1.39917
534,2.0975,1.39917
535,2.0975,1.39917
536,2.0975,1.39917
537,2.0975,1.39917
538,2.0975,1.39917
539,2.0975,1.39917
540,2.0975,1.39917
541,2.0975,1.39917
542,2.0975,1.39917
543,2.0975,1.39917
544,2.0975,1.39917
545,2.0975,1.39917
546,2.0975,1.39917
547,2.0975,1.39917
548,2.0975,1.39917
549,2.0975,1.39917
550,2.0975,1.39917
551,2.0975,1.39917
552,2.0975,1.39917
553,2.0975,1.39917
554,2.0975,1.39917
555,2.0975,1.39917
556,2.0975,1.39917
557,2.0975,1.39917
558,2.0975,1.39917
559,2.0975,1.39917
560,2.0975,1.39917
561,2.0975,1.39917
562,2.0975,1.39917
563,2.0975,1.39917
564,2.0975,1.39917
565,2.0975,1.39917
566,2.0975,1.39917
567,2.0975,1.39917
568,2.0975,1.39917
569,2.0975,1.39917
570,2.0975,1.39917
571,2.0975,1.39917
572,2.0975,1.39917
573,2.0975,1.39917
574,2.0975,1.39917
575,2.0975,1.39917
576,2.0975,1.39917
577,2.0975,1.39917
578,2.0975,1.39917
579,2.0975,1.39917
580,2.0975,1.39917
581,2.0975,1.39917
582,2.0975,1.39917
583,2.0975,1.39917
584,2.0975,1.39917
585,2.0975,1.39917
586,2.0975,1.39917
587,2.0975,1.39917
588,2.0975,1.39917
589,2.0975,1.39917
590,2.0975,1.39917
591,2.0975,1.39917
592,2.0975,1.39917
593,2.0975,1.39917
594,2.0975,1.39917
595,2.0975,1.39917
596,2.0975,1.39917
597,2.0975,1.39917
598,2.0975,1.39917
599,2.0975,1.39917
600,2.0975,1.39917
601,2.0975,1.39917
602,2.0975,1.39917
603,2.0975,1.39917
604,2.0975,1.39917
605,2.0975,1.39917
606,2.0975,1.39917
607,2.0975,1.39917
608,2.0975,1.39917
609,2.0975,1.39917
610,2.0975,1.39917
611,2.0975,1.39917
612,2.0975,1.39917
613,2.0975,1.39917
614,2.0975,1.39917
615,2.0975,1.39917
616,2.0975,1.39917
617,2.0975,1.39917
618,2.0975,1.39917
619,2.0975,1.39917
620,2.0975,1.39917
621,2.0975,1.39917
622,2.0975,1.39917
623,2.0975,1.39917
624,2.0975,1.39917
625,2.0975,1.39917
626,2.0975,1.39917
627,2.0975,1.39917
628,2.0975,1.39917
629,2.0975,1.39917
630,2.0975,1.39917
631,2.0975,1.39917
632,2.0975,1.39917
633,2.0975,1.39917
634,2.0975,1.39917
635,2.0975,1.39917
636,2.0975,1.39917
637,2.0975,1.39917
638,2.0975,1.39917
639,2.0975,1.39917
640,2.0975,1.39917
641,2.0975,1.39917
642,2.0975,1.39917
643,2.0975,1.39917
644,2.0975,1.39917
645,2.0975,1.39917
646,2.0975,1.39917
647,2.0975,1.39917
648,2.0975,1.39917
649,2.0975,1.39917
650,2.0975,1.39917
651,2.0975,1.39917
652,2.0975,1.39917
653,2.0975,1.39917
654,2.0975,1.39917
655,2.0975,1.39917
656,2.0975,1.39917
657,2.0975,1.39917
658,2.0975,1.39917
659,2.0975,1.39917
660,2.0975,1.39917
661,2.0975,1.39917
662,2.0975,1.39917
663,2.0975,1.39917
664,2.0975,1.39917
665,2.0975,1.39917
666,2.0975,1.39917
667,2.0975,1.39917
668,2.0975,1.39917
669,2.0975,1.39917
670,2.0975,1.39917
671,2.0975,1.39917
672,2.0975,1.39917
673,2.0975,1.39917
674,2.0975,1.39917
675,2.0975,1.39917
676,2.0975,1.39917
677,2.0975,1.39917
678,2.0975,1.39917
679,2.0975,1.39917
680,2.0975,1.39917
681,2.0975,1.39917
682,2.0975,1.39917
683,2.0975,1.39917
684,2.0975,1.39917
685,2.0975,1.39917
686,2.0975,1.39917
687,2.0975,1.39917
688,2.0975,1.39917
689,2.0975,1.39917
690,2.0975,1.39917
691,2.0975,1.39917
692,2.0975,1.39917
693,2.0975,1.39917
694,2.0975,1.39917
695,2.0975,1.39917
696,2.0975,1.39917
697,2.0975,1.39917
698,2.0975,1.39917
699,2.0975,1.39917
700,2.0975,1.39917
701,2.0975,1.39917
702,2.0975,1.39917
703,2.0975,1.39917
704,2.0975,1.39917
705,2.0975,1.39917
706,2.0975,1.39917
707,2.0975,1.39917
708,2.0975,1.39917
709,2.0975,1.39917
710,2.0975,1.39917
711,2.0975,1.39917
712,2.0975,1.39917
713,2.0975,1.39917
714,2.0975,1.39917
715,2.0975,1.39917
716,2.0975,1.39917
717,2.0975,1.39917
718,2.0975,1.39917
719,2.0975,0.774717
720,2.0975,0.774717
721,2.0975,0.774717
722,2.0975,0.774717
723,2.0975,0.774717
724,2.0975,0.774717
725,2.0975,0.774717
726,2.0975,0.774717
727,2.0975,0.774717
728,2.0975,0.774717
729,2.0975,0.774717
730,2.0975,0.774717
731,2.0975,0.774717
732,2.0975,0.774717
733,2.0975,0.774717
734,2.0975,0.774717
735,2.0975,0.774717
736,2.0975,0.774717
737,2.0975,0.774717
738,2.0975,0.774717
739,2.0975,0.774717
740,2.0975,0.774717
741,2.0975,0.774717
742,2.0975,0.774717
743,2.0975,0.774717
744,2.0975,0.774717
745,2.0975,0.774717
746,2.0975,0.774717
747,2.0975,0.774717
748,2.0975,0.774717
749,2.0975,0.774717
750,2.0975,0.774717
751,2.0975,0.774717
752,2.0975,0.774717
753,2.0975,0.774717
754,2.0975,0.774717
755,2.0975,0.774717
756,2.0975,0.774717
757,2.0975,0.774717
758,2.0975,0.774717
759,2.0975,0.774717
760,2.0975,0.774717
761,2.0975,0.774717
762,2.0975,0.774717
763,2.0975,0.774717
764,2.0975,0.774717
765,2.0975,0.774717
766,2.0975,0.774717
767,2.0975,0.774717
768,2.0975,0.774717
769,2.0975,0.774717
770,2.0975,0.774717
771,2.0975,0.774717
772,2.0975,0.774717
773,2.0975,0.774717
774,2.0975,0.774717
775,2.0975,0.774717
776,2.0975,0.774717
777,2.0975,0.774717
778,2.0975,0.774717
