Generation,Train,Test
0,1,1
1,1.00802,1
2,1.00802,1
3,1.00802,1
4,1.02555,1
5,1.02555,1
6,1.02555,1
7,1.02555,1
8,1.26477,1
9,1.26477,1
10,1.26477,1
11,1.26775,1
12,1.26775,1
13,1.26775,1
14,1.26775,1
15,1.26775,1
16,1.26775,1
17,1.26775,1
18,1.26775,1
19,1.26775,1
20,1.26775,1
21,1.26775,1
22,1.26775,1
23,1.26775,1
24,1.26775,1
25,1.26775,1
26,1.26775,1
27,1.26775,1
28,1.26775,1
29,1.26775,1
30,1.26775,1
31,1.26775,1
32,1.26775,1
33,1.26775,1
34,1.26775,1
35,1.26775,1
36,1.26775,1
37,1.26775,1
38,1.26775,1
39,1.26775,1
40,1.26775,1
41,1.26775,1
42,1.26775,1
43,1.26775,1
44,1.26775,1
45,1.26775,1
46,1.26775,1
47,1.26775,1
48,1.26775,1
49,1.26775,1
50,1.26775,1
51,1.26775,1
52,1.26775,1
53,1.26775,1
54,1.26775,1
55,1.26775,1
56,1.26775,1
57,1.26775,1
58,1.26775,1
59,1.26775,1
60,1.26775,1
61,1.26775,1
62,1.26775,1
63,1.26775,1
64,1.26775,1
65,1.26775,1
66,1.26775,1
67,1.26775,1
68,1.26775,1
69,1.26775,1
70,1.26775,1
71,1.26775,1
72,1.26775,1
73,1.26775,1
74,1.26775,1
75,1.26775,1
76,1.26775,1
77,1.26775,1
78,1.26775,1
79,1.26775,1
80,1.26775,1
81,1.26775,1
82,1.26775,1
83,1.26775,1
84,1.26775,1
85,1.26775,1
86,1.26775,1
87,1.26775,1
88,1.26775,1
89,1.26775,1
90,1.26775,1
91,1.26775,1
92,1.26775,1
93,1.26775,1
94,1.26775,1
95,1.26775,1
96,1.26775,1
97,1.26775,1
98,1.26775,1
99,1.26775,1
100,1.26775,1
101,1.26775,1
102,1.26775,1
103,1.26775,1
104,1.26775,1
105,1.26775,1
106,1.26775,1
107,1.26775,1
108,1.26775,1
109,1.26775,1
110,1.26775,1
111,1.26775,1
112,1.26775,1
113,1.26775,1
114,1.26775,1
115,1.26775,1
116,1.26775,1
117,1.26775,1
118,1.26775,1
119,1.26775,1
120,1.26775,1
121,1.26775,1
122,1.26775,1
123,1.26775,1
124,1.26775,1
125,1.26775,1
126,1.26775,1
127,1.26775,1
128,1.26775,1
129,1.26775,1
130,1.26775,1
131,1.26775,1
132,1.26775,1
133,1.26775,1
134,1.26775,1
135,1.26775,1
136,1.26775,1
137,1.26775,1
138,1.26775,1
139,1.26775,1
140,1.26775,1
141,1.26775,1
142,1.26775,1
143,1.26775,1
144,1.26775,1
145,1.26775,1
146,1.26775,1
147,1.26775,1
148,1.26775,1
149,1.26775,1
150,1.26775,1
151,1.26775,1
152,1.26775,1
153,1.26775,1
154,1.26775,1
155,1.26775,1
156,1.26775,1
157,1.26775,1
158,1.26775,1
159,1.26775,1
160,1.26775,1
161,1.26775,1
162,1.26775,1
163,1.26775,1
164,1.26775,1
165,1.26775,1
166,1.26775,1
167,1.26775,1
168,1.26775,1
169,1.26775,1
170,1.26775,1
171,1.26775,1
172,1.26775,1
173,1.26775,1
174,1.26775,1
175,1.26775,1
176,1.26775,1
177,1.26775,1
178,1.26775,1
179,1.26775,1
180,1.26775,1
181,1.26775,1
182,1.26775,1
183,1.26775,1
184,1.26775,1
185,1.26775,1
186,1.26775,1
187,1.26775,1
188,1.26775,1
189,1.26775,1
190,1.26775,1
191,1.26775,1
192,1.26775,1
193,1.26775,1
194,1.26775,1
195,1.26775,1
196,1.26775,1
197,1.26775,1
198,1.26775,1
199,1.26775,1
200,1.26775,1
201,1.26775,1
202,1.26775,1
203,1.26775,1
204,1.26775,1
205,1.26775,1
206,1.26775,1
207,1.26775,1
208,1.26775,1
209,1.26775,1
210,1.26775,1
211,1.26775,1
212,1.26775,1
213,1.26775,1
214,1.26775,1
215,1.26775,1
216,1.26775,1
217,1.26775,1
218,1.26775,1
219,1.26775,1
220,1.26775,1
221,1.26775,1
