Generation,Train,Test
0,1.0421,1
1,1.0421,1
2,1.0421,1
3,1.0421,1
4,1.06193,1
5,1.06193,1
6,1.06193,1
7,1.06193,1
8,1.06193,1
9,1.16409,1
10,1.16409,1
11,1.16409,1
12,1.16409,1
13,1.19836,1
14,1.19836,1
15,1.19836,1
16,1.19836,1
17,1.19836,1
18,1.19836,1
19,1.19836,1
20,1.19836,1
21,1.25923,1
22,1.25923,1
23,1.25923,1
24,1.29727,1
25,1.29727,1
26,1.29727,1
27,1.32607,1
28,1.32607,1
29,1.32607,1
30,1.32607,1
31,1.32607,1
32,1.32607,1
33,1.32607,1
34,1.32607,1
35,1.32607,1
36,1.32607,1
37,1.32607,1
38,1.32607,1
39,1.32607,1
40,1.32607,1
41,1.32607,1
42,1.32607,1
43,1.32607,1
44,1.32607,1
45,1.32607,1
46,1.32607,1
47,1.32607,1
48,1.32607,1
49,1.32607,1
50,1.32607,1
51,1.32607,1
52,1.32607,1
53,1.32607,1
54,1.32607,1
55,1.32607,1
56,1.32607,1
57,1.32607,1
58,1.32607,1
59,1.32607,1
60,1.32607,1
61,1.32607,1
62,1.32607,1
63,1.32607,1
64,1.32607,1
65,1.32607,1
66,1.32607,1
67,1.32607,1
68,1.32607,1
69,1.32607,1
70,1.32607,1
71,1.32607,1
72,1.32607,1
73,1.32607,1
74,1.32607,1
75,1.32607,1
76,1.32607,1
77,1.32607,1
78,1.32607,1
79,1.32607,1
80,1.32607,1
81,1.32607,1
82,1.32607,1
83,1.32607,1
84,1.32607,1
85,1.32607,1
86,1.32607,1
87,1.32607,1
88,1.32607,1
89,1.32607,1
90,1.32607,1
91,1.32607,1
92,1.32607,1
93,1.32607,1
94,1.32607,1
95,1.32607,1
96,1.32607,1
97,1.32607,1
98,1.32607,1
99,1.32607,1
100,1.32607,1
101,1.32607,1
102,1.32607,1
103,1.32607,1
104,1.32607,1
105,1.32607,1
106,1.32607,1
107,1.32607,1
108,1.32607,1
109,1.32607,1
110,1.32607,1
111,1.32607,1
112,1.32607,1
113,1.32607,1
114,1.32607,1
115,1.32607,1
116,1.32607,1
117,1.32607,1
118,1.32607,1
119,1.32607,1
120,1.32607,1
121,1.32607,1
122,1.32607,1
123,1.32607,1
124,1.32607,1
125,1.32607,1
126,1.32607,1
127,1.32607,1
128,1.32607,1
129,1.32607,1
130,1.32607,1
131,1.32607,1
132,1.32607,1
133,1.32607,1
134,1.32607,1
135,1.32607,1
136,1.32607,1
137,1.32607,1
138,1.32607,1
139,1.32607,1
140,1.32607,1
141,1.32607,1
142,1.32607,1
143,1.32607,1
144,1.32607,1
145,1.32607,1
146,1.32607,1
147,1.32607,1
148,1.32607,1
149,1.32607,1
150,1.32607,1
151,1.32607,1
152,1.32607,1
153,1.32607,1
154,1.32607,1
155,1.32607,1
156,1.32607,1
157,1.32607,1
158,1.32607,1
159,1.32607,1
160,1.32607,1
161,1.32607,1
162,1.32607,1
163,1.32607,1
164,1.32607,1
165,1.32607,1
166,1.32607,1
167,1.32607,1
168,1.32607,1
169,1.32607,1
170,1.32607,1
171,1.32607,1
172,1.32607,1
173,1.32607,1
174,1.32607,1
175,1.32607,1
176,1.32607,1
177,1.32607,1
178,1.32607,1
179,1.32607,1
180,1.32607,1
181,1.32607,1
182,1.32607,1
183,1.32607,1
184,1.32607,1
185,1.32607,1
186,1.32607,1
187,1.32607,1
188,1.32607,1
189,1.32607,1
190,1.32607,1
191,1.32607,1
192,1.32607,1
193,1.32607,1
194,1.32607,1
195,1.32607,1
196,1.32607,1
197,1.32607,1
198,1.32607,1
199,1.32607,1
200,1.32607,1
201,1.32607,1
202,1.32607,1
203,1.32607,1
204,1.32607,1
205,1.32607,1
206,1.32607,1
207,1.32607,1
208,1.32607,1
209,1.32607,1
210,1.32607,1
211,1.32607,1
212,1.32607,1
213,1.32607,1
214,1.32607,1
215,1.32607,1
216,1.32607,1
217,1.32607,1
218,1.32607,1
219,1.32607,1
220,1.32607,1
221,1.32607,1
222,1.32607,1
223,1.32607,1
224,1.32607,1
225,1.32607,1
226,1.32607,1
227,1.32607,1
228,1.32607,1
229,1.32607,1
230,1.32607,1
231,1.32607,1
232,1.32607,1
233,1.32607,1
234,1.32607,1
235,1.32607,1
236,1.32607,1
237,1.32607,1
238,1.32607,1
239,1.32607,1.01425
240,1.6283,1.04902
241,1.6283,1.04902
242,1.6283,1.04902
243,1.6283,1.04902
244,1.6283,1.04902
245,1.6283,1.04902
246,1.6283,1.04902
247,1.6283,1.04902
248,1.6283,1.04902
249,1.6283,1.04902
250,1.62922,1.05065
251,1.62922,1.05065
252,1.62922,1.05065
253,1.62922,1.05065
254,1.62922,1.05065
255,1.62922,1.05065
256,1.63171,1.05182
257,1.63171,1.05182
258,1.63171,1.05182
259,1.63171,1.05182
260,1.63171,1.05182
261,1.63171,1.05182
262,1.63171,1.05182
263,1.63171,1.05182
264,1.63171,1.05182
265,1.63171,1.05182
266,1.63171,1.05182
267,1.65676,1.08343
268,1.65676,1.08343
269,1.65676,1.08343
270,1.65676,1.08343
271,1.65676,1.08343
272,1.71494,1.09066
273,1.71494,1.09066
274,1.81927,1.12611
275,1.82004,1.12611
276,1.82004,1.12611
277,1.85464,1.176
278,1.85464,1.176
279,1.85464,1.176
280,1.85464,1.176
281,1.85464,1.176
282,1.85464,1.176
283,1.85464,1.176
284,1.85464,1.176
285,1.85464,1.176
286,1.85464,1.176
287,1.85464,1.176
288,1.85464,1.176
289,1.85464,1.176
290,1.85464,1.176
291,1.85464,1.176
292,1.85464,1.176
293,1.85464,1.176
294,1.85464,1.176
295,1.85464,1.176
296,1.85464,1.176
297,1.85464,1.176
298,1.85464,1.176
299,1.85464,1.176
300,1.85464,1.176
301,1.85464,1.176
302,1.85464,1.176
303,1.85464,1.176
304,1.85464,1.176
305,1.85464,1.176
306,1.85464,1.176
307,1.85464,1.176
308,1.85464,1.176
309,1.85464,1.176
310,1.85464,1.176
311,1.85464,1.176
312,1.85464,1.176
313,1.85464,1.176
314,1.85464,1.176
315,1.85464,1.176
316,1.85464,1.176
317,1.85464,1.176
318,1.85464,1.176
319,1.85464,1.176
320,1.85464,1.176
321,1.92597,1.12586
322,1.92597,1.12586
323,1.92597,1.12586
324,1.92597,1.12586
325,1.92597,1.12586
326,1.92597,1.12586
327,1.92597,1.12586
328,1.92597,1.12586
329,1.92597,1.12586
330,1.92597,1.12586
331,1.92597,1.12586
332,1.92597,1.12586
333,1.92597,1.12586
334,1.92597,1.12586
335,1.92597,1.12586
336,1.92597,1.12586
337,1.92597,1.12586
338,1.92597,1.12586
339,1.92597,1.12586
340,1.92597,1.12586
341,1.92597,1.12586
342,1.92597,1.12586
343,1.92597,1.12586
344,1.92597,1.12586
345,1.92597,1.12586
346,1.92597,1.12586
347,1.92597,1.12586
348,1.92597,1.12586
349,1.92597,1.12586
350,1.92597,1.12586
351,1.92597,1.12586
352,1.92597,1.12586
353,1.92597,1.12586
354,1.92597,1.12586
355,1.92597,1.12586
356,1.92597,1.12586
357,1.92597,1.12586
358,1.92597,1.12586
359,1.92597,1.12586
360,1.92597,1.12586
361,1.92597,1.12586
362,1.92597,1.12586
363,1.92597,1.12586
364,1.92597,1.12586
365,1.92597,1.12586
366,1.92597,1.12586
367,1.92597,1.12586
368,1.92597,1.12586
369,1.92597,1.12586
370,1.92597,1.12586
371,1.92597,1.12586
372,1.92597,1.12586
373,1.92597,1.12586
374,1.92597,1.12586
375,1.92597,1.12586
376,1.92597,1.12586
377,1.92597,1.12586
378,1.92597,1.12586
379,1.92597,1.12586
380,1.92597,1.12586
381,1.92597,1.12586
382,1.92597,1.12586
383,1.92597,1.12586
384,1.92597,1.12586
385,1.92597,1.12586
386,1.92597,1.12586
387,1.92597,1.12586
388,1.92597,1.12586
389,1.92597,1.12586
390,1.92597,1.12586
391,1.92597,1.12586
392,1.92597,1.12586
393,1.92597,1.12586
394,1.92597,1.12586
395,1.92597,1.12586
396,1.92597,1.12586
397,1.92597,1.12586
398,1.92597,1.12586
399,1.92597,1.12586
400,1.92597,1.12586
401,1.92597,1.12586
402,1.92597,1.12586
403,1.92597,1.12586
404,1.92597,1.12586
405,1.92597,1.12586
406,1.92597,1.12586
407,1.92597,1.12586
408,1.92597,1.12586
409,1.92597,1.12586
410,1.92597,1.12586
411,1.92597,1.12586
412,1.92597,1.12586
413,1.92597,1.12586
414,1.92597,1.12586
415,1.92597,1.12586
416,1.92597,1.12586
417,1.92597,1.12586
418,1.92597,1.12586
419,1.92597,1.12586
420,1.92597,1.12586
421,1.92597,1.12586
422,1.92597,1.12586
423,1.92597,1.12586
424,1.92597,1.12586
425,1.92597,1.12586
426,1.92597,1.12586
427,1.92597,1.12586
428,1.92597,1.12586
429,1.92597,1.12586
430,1.92597,1.12586
431,1.92597,1.12586
432,1.94588,1.176
433,1.94588,1.176
434,1.94588,1.176
435,1.94588,1.176
436,1.94588,1.176
437,1.94588,1.176
438,1.94588,1.176
439,1.94588,1.176
440,1.94588,1.176
441,1.94588,1.176
442,1.94588,1.176
443,1.94588,1.176
444,1.94588,1.176
445,1.94588,1.176
446,1.94588,1.176
447,1.94588,1.176
448,1.94588,1.176
449,1.94588,1.176
450,1.94588,1.176
451,1.94588,1.176
452,1.94588,1.176
453,1.94588,1.176
454,1.94588,1.176
455,1.94588,1.176
456,1.94588,1.176
457,1.94588,1.176
458,1.94588,1.176
459,1.94588,1.176
460,1.94588,1.176
461,1.94588,1.176
462,1.94588,1.176
463,1.94588,1.176
464,1.94588,1.176
465,1.94588,1.176
466,1.94588,1.176
467,1.94588,1.176
468,1.94588,1.176
469,1.94588,1.176
470,1.94588,1.176
471,1.94588,1.176
472,1.94588,1.176
473,1.94588,1.176
474,1.94588,1.176
475,1.94588,1.176
476,1.94588,1.176
477,1.94588,1.176
478,1.94588,1.176
479,1.94588,1.41181
480,1.94588,1.41181
481,1.94588,1.41181
482,1.94588,1.41181
483,1.94588,1.41181
484,1.94588,1.41181
485,1.94588,1.41181
486,1.94588,1.41181
487,1.94588,1.41181
488,1.94588,1.41181
489,1.94588,1.41181
490,1.94588,1.41181
491,1.94588,1.41181
492,1.94588,1.41181
493,1.94588,1.41181
494,1.94588,1.41181
495,1.94588,1.41181
496,1.94588,1.41181
497,1.94588,1.41181
498,1.94588,1.41181
499,1.94588,1.41181
500,1.94588,1.41181
501,1.94588,1.41181
502,1.94588,1.41181
503,1.94588,1.41181
504,1.94588,1.41181
505,1.94588,1.41181
506,1.94588,1.41181
507,1.94588,1.41181
508,1.94588,1.41181
509,1.94588,1.41181
510,1.94588,1.41181
511,1.94588,1.41181
512,1.94588,1.41181
513,1.94588,1.41181
514,1.94588,1.41181
515,1.94588,1.41181
516,1.94588,1.41181
517,1.94588,1.41181
518,1.94588,1.41181
519,1.94588,1.41181
520,1.94588,1.41181
521,1.94588,1.41181
522,1.94588,1.41181
523,1.94588,1.41181
524,1.94588,1.41181
525,1.94588,1.41181
526,1.94588,1.41181
527,1.94588,1.41181
528,1.94588,1.41181
529,1.94588,1.41181
530,1.94588,1.41181
531,1.94588,1.41181
532,1.94588,1.41181
533,1.94588,1.41181
534,1.94588,1.41181
535,1.94588,1.41181
536,1.94588,1.41181
537,1.94588,1.41181
538,1.94588,1.41181
539,1.94588,1.41181
540,1.94588,1.41181
541,1.94588,1.41181
542,1.94588,1.41181
543,1.94588,1.41181
544,1.94588,1.41181
545,1.94588,1.41181
546,1.94588,1.41181
547,1.94588,1.41181
548,1.94588,1.41181
549,1.94588,1.41181
550,1.94588,1.41181
551,1.94588,1.41181
552,1.94588,1.41181
553,1.94588,1.41181
554,1.94588,1.41181
555,1.94588,1.41181
556,1.94588,1.41181
557,1.94588,1.41181
558,1.94588,1.41181
559,1.94588,1.41181
560,1.94588,1.41181
561,1.94588,1.41181
562,1.94588,1.41181
563,1.94588,1.41181
564,1.94588,1.41181
565,1.94588,1.41181
566,1.94588,1.41181
567,1.94588,1.41181
568,1.94588,1.41181
569,1.94588,1.41181
570,1.94588,1.41181
571,1.94588,1.41181
572,1.94588,1.41181
573,1.94588,1.41181
574,1.94588,1.41181
575,1.94588,1.41181
576,1.94588,1.41181
577,1.94588,1.41181
578,1.94588,1.41181
579,1.94588,1.41181
580,1.94588,1.41181
581,1.94588,1.41181
582,1.94588,1.41181
583,1.94588,1.41181
584,1.94588,1.41181
585,1.94588,1.41181
586,1.94588,1.41181
587,1.94588,1.41181
588,1.94588,1.41181
589,1.94588,1.41181
590,1.94588,1.41181
591,1.94588,1.41181
592,1.94588,1.41181
593,1.94588,1.41181
594,1.94588,1.41181
595,1.94588,1.41181
596,1.94588,1.41181
597,1.94588,1.41181
598,1.94588,1.41181
599,1.94588,1.41181
600,1.94588,1.41181
