Generation,Train,Test
0,1.01058,1
1,1.01058,1
2,1.01058,1
3,1.01058,1
4,1.01058,1
5,1.01058,1
6,1.01058,1
7,1.01058,1
8,1.01058,1
9,1.0165,1
10,1.0165,1
11,1.0165,1
12,1.0165,1
13,1.0165,1
14,1.0165,1
15,1.03105,1
16,1.03105,1
17,1.03105,1
18,1.03105,1
19,1.03105,1
20,1.03105,1
21,1.03105,1
22,1.03105,1
23,1.03105,1
24,1.03105,1
25,1.03967,1.0037
26,1.03967,1.0037
27,1.03967,1.0037
28,1.03967,1.0037
29,1.03967,1.0037
30,1.03967,1.0037
31,1.03967,1.0037
32,1.03967,1.0037
33,1.03967,1.0037
34,1.03967,1.0037
35,1.03967,1.0037
36,1.03967,1.0037
37,1.05188,1.0037
38,1.05188,1.0037
39,1.05188,1.0037
40,1.05188,1.0037
41,1.05188,1.0037
42,1.05188,1.0037
43,1.05188,1.0037
44,1.05188,1.0037
45,1.05188,1.0037
46,1.05188,1.0037
47,1.05188,1.0037
48,1.05188,1.0037
49,1.05188,1.0037
50,1.05188,1.0037
51,1.05188,1.0037
52,1.05188,1.0037
53,1.05188,1.0037
54,1.05188,1.0037
55,1.05188,1.0037
56,1.05188,1.0037
57,1.05188,1.0037
58,1.05188,1.0037
59,1.05188,1.0037
60,1.05188,1.0037
61,1.05188,1.0037
62,1.05188,1.0037
63,1.05188,1.0037
64,1.05188,1.0037
65,1.05188,1.0037
66,1.05188,1.0037
67,1.05188,1.0037
68,1.05188,1.0037
69,1.05188,1.0037
70,1.05188,1.0037
71,1.05188,1.0037
72,1.05188,1.0037
73,1.05188,1.0037
74,1.05188,1.0037
75,1.05188,1.0037
76,1.05188,1.0037
77,1.05188,1.0037
78,1.05188,1.0037
79,1.05188,1.0037
80,1.05188,1.0037
81,1.05188,1.0037
82,1.05188,1.0037
83,1.05188,1.0037
84,1.05188,1.0037
85,1.05188,1.0037
86,1.05188,1.0037
87,1.05188,1.0037
88,1.05188,1.0037
89,1.05188,1.0037
90,1.05188,1.0037
91,1.05188,1.0037
92,1.05188,1.0037
93,1.05188,1.0037
94,1.05188,1.0037
95,1.05188,1.0037
96,1.05188,1.0037
97,1.05188,1.0037
98,1.05188,1.0037
99,1.05188,1.0037
100,1.05188,1.0037
101,1.05188,1.0037
102,1.05188,1.0037
103,1.05188,1.0037
104,1.05188,1.0037
105,1.05188,1.0037
106,1.05188,1.0037
107,1.05188,1.0037
108,1.05188,1.0037
109,1.05188,1.0037
110,1.05188,1.0037
111,1.05188,1.0037
112,1.05188,1.0037
113,1.05188,1.0037
114,1.05188,1.0037
115,1.05188,1.0037
116,1.05188,1.0037
117,1.05188,1.0037
118,1.05188,1.0037
119,1.05188,1.0037
120,1.05188,1.0037
121,1.05188,1.0037
122,1.05188,1.0037
123,1.05188,1.0037
124,1.05188,1.0037
125,1.05188,1.0037
126,1.05188,1.0037
127,1.05188,1.0037
128,1.05188,1.0037
129,1.05188,1.0037
130,1.05188,1.0037
131,1.05188,1.0037
132,1.05188,1.0037
133,1.05188,1.0037
134,1.05188,1.0037
135,1.05188,1.0037
136,1.05188,1.0037
137,1.05188,1.0037
138,1.05188,1.0037
139,1.05188,1.0037
140,1.05188,1.0037
141,1.05188,1.0037
142,1.05188,1.0037
143,1.05188,1.0037
144,1.05188,1.0037
145,1.05188,1.0037
146,1.05188,1.0037
147,1.05188,1.0037
148,1.05188,1.0037
149,1.05188,1.0037
150,1.05188,1.0037
151,1.05188,1.0037
152,1.05188,1.0037
153,1.05188,1.0037
154,1.05188,1.0037
155,1.05188,1.0037
156,1.05188,1.0037
157,1.05188,1.0037
158,1.05188,1.0037
159,1.05188,1.0037
160,1.05188,1.0037
161,1.05188,1.0037
162,1.0594,1.0037
163,1.0594,1.0037
164,1.0594,1.0037
165,1.0594,1.0037
166,1.0594,1.0037
167,1.0594,1.0037
168,1.069,1.0037
169,1.069,1.0037
170,1.069,1.0037
171,1.069,1.0037
172,1.0817,1.0037
173,1.0817,1.0037
174,1.0817,1.0037
175,1.0817,1.0037
176,1.0817,1.0037
177,1.0817,1.0037
178,1.0817,1.0037
179,1.0995,1.0037
180,1.0995,1.0037
181,1.0995,1.0037
182,1.0995,1.0037
183,1.0995,1.0037
184,1.0995,1.0037
185,1.0995,1.0037
186,1.0995,1.0037
187,1.0995,1.0037
188,1.0995,1.0037
189,1.0995,1.0037
190,1.0995,1.0037
191,1.0995,1.0037
192,1.0995,1.0037
193,1.11029,0.973837
194,1.11029,0.973837
195,1.11029,0.973837
196,1.11029,0.973837
197,1.11029,0.973837
198,1.11029,0.973837
199,1.11029,0.973837
200,1.11029,0.973837
201,1.11489,0.975188
202,1.11489,0.975188
203,1.11489,0.975188
204,1.11884,0.973837
205,1.12549,0.973837
206,1.12549,0.973837
207,1.12549,0.973837
208,1.12549,0.973837
209,1.12549,0.973837
210,1.12549,0.973837
211,1.12549,0.973837
212,1.12549,0.973837
213,1.12549,0.973837
214,1.12549,0.973837
215,1.12549,0.973837
216,1.12549,0.973837
217,1.12549,0.973837
218,1.12549,0.973837
219,1.12549,0.973837
220,1.12549,0.973837
221,1.12549,0.973837
222,1.12549,0.973837
223,1.12549,0.973837
224,1.12549,0.973837
225,1.12549,0.973837
226,1.12549,0.973837
227,1.12549,0.973837
228,1.12549,0.973837
229,1.12549,0.973837
230,1.12549,0.973837
231,1.12549,0.973837
232,1.12549,0.973837
233,1.12549,0.973837
234,1.12549,0.973837
235,1.12549,0.973837
236,1.12549,0.973837
237,1.12549,0.973837
238,1.12549,0.973837
239,1.12549,0.973837
240,1.12549,0.973837
241,1.12549,0.973837
242,1.12549,0.973837
243,1.13175,0.973837
244,1.13175,0.973837
245,1.13175,0.973837
246,1.13175,0.973837
247,1.18739,0.97754
248,1.18739,0.97754
249,1.18739,0.97754
250,1.18941,0.957105
251,1.18941,0.957105
252,1.18941,0.957105
253,1.18941,0.957105
254,1.19186,0.957105
255,1.19186,0.957105
256,1.19186,0.957105
257,1.20534,0.97754
258,1.20534,0.97754
259,1.20534,0.97754
260,1.21735,0.917553
261,1.21735,0.917553
262,1.21735,0.917553
263,1.21735,0.917553
264,1.21735,0.917553
265,1.21735,0.917553
266,1.21735,0.917553
267,1.21735,0.917553
268,1.21735,0.917553
269,1.21735,0.917553
270,1.21735,0.917553
271,1.21735,0.917553
272,1.21735,0.917553
273,1.21735,0.917553
274,1.21735,0.917553
275,1.21735,0.917553
276,1.21735,0.917553
277,1.21735,0.917553
278,1.21735,0.917553
279,1.21735,0.917553
280,1.21735,0.917553
281,1.21735,0.917553
282,1.21735,0.917553
283,1.21735,0.917553
284,1.21735,0.917553
285,1.21735,0.917553
286,1.21735,0.917553
287,1.21735,0.917553
288,1.21735,0.917553
289,1.21735,0.917553
290,1.21735,0.917553
291,1.21735,0.917553
292,1.21735,0.917553
293,1.21735,0.917553
294,1.21735,0.917553
295,1.21735,0.917553
296,1.21735,0.917553
297,1.21735,0.917553
298,1.21735,0.917553
299,1.21735,0.917553
300,1.21735,0.917553
301,1.21735,0.917553
302,1.21735,0.917553
303,1.21735,0.917553
304,1.21735,0.917553
305,1.21735,0.917553
306,1.21735,0.917553
307,1.21735,0.917553
308,1.21735,0.917553
309,1.21735,0.917553
310,1.21735,0.917553
311,1.21735,0.917553
312,1.21735,0.917553
313,1.21735,0.917553
314,1.21735,0.917553
315,1.21735,0.917553
316,1.21735,0.917553
317,1.21735,0.917553
318,1.21735,0.917553
319,1.21735,0.917553
320,1.21735,0.917553
321,1.21735,0.917553
322,1.21735,0.917553
323,1.21735,0.917553
324,1.21735,0.917553
325,1.21735,0.917553
326,1.21735,0.917553
327,1.21735,0.917553
328,1.21735,0.917553
329,1.21735,0.917553
330,1.21735,0.917553
331,1.21735,0.917553
332,1.21735,0.917553
333,1.21735,0.917553
334,1.21735,0.917553
335,1.21735,0.917553
336,1.21735,0.917553
337,1.21735,0.917553
338,1.21735,0.917553
339,1.21735,0.917553
340,1.21735,0.917553
341,1.21735,0.917553
342,1.21735,0.917553
343,1.21735,0.917553
344,1.21735,0.917553
345,1.21735,0.917553
346,1.21735,0.917553
347,1.21735,0.917553
348,1.21735,0.917553
349,1.21735,0.917553
350,1.21735,0.917553
351,1.21735,0.917553
352,1.21735,0.917553
353,1.21735,0.917553
354,1.21735,0.917553
355,1.21735,0.917553
