Generation,Train,Test
0,1,1
1,1.01237,1
2,1.01237,1
3,1.01237,1
4,1.01237,1
5,1.01237,1
6,1.01237,1
7,1.01237,1
8,1.01237,1
9,1.01712,1
10,1.01712,1
11,1.01712,1
12,1.01712,1
13,1.01712,1
14,1.01712,1
15,1.01712,1
16,1.02949,1
17,1.02949,1
18,1.02949,1
19,1.02949,1
20,1.02949,1
21,1.02949,1
22,1.02949,1
23,1.02949,1
24,1.02949,1
25,1.02949,1
26,1.02949,1
27,1.02949,1
28,1.02949,1
29,1.02949,1
30,1.02949,1
31,1.02949,1
32,1.02949,1
33,1.02949,1
34,1.02949,1
35,1.02949,1
36,1.02949,1
37,1.02949,1
38,1.02949,1
39,1.02949,1
40,1.02949,1
41,1.02949,1
42,1.02949,1
43,1.02949,1
44,1.02949,1
45,1.02949,1
46,1.02949,1
47,1.02949,1
48,1.02949,1
49,1.02949,1
50,1.02949,1
51,1.02949,1
52,1.02949,1
53,1.02949,1
54,1.02949,1
55,1.02949,1
56,1.02949,1
57,1.04258,1
58,1.04258,1
59,1.04258,1
60,1.04258,1
61,1.04258,1
62,1.04258,1
63,1.04258,1
64,1.04258,1
65,1.04258,1
66,1.04258,1
67,1.04258,1
68,1.04258,1
69,1.04258,1
70,1.04258,1
71,1.05319,1
72,1.05319,1
73,1.05319,1
74,1.06038,1
75,1.06038,1
76,1.07221,1
77,1.07221,1
78,1.07221,1
79,1.07221,1
80,1.07221,1
81,1.07221,1
82,1.07221,1
83,1.07221,1
84,1.07221,1
85,1.07221,1
86,1.07221,1
87,1.076,1
88,1.076,1
89,1.076,1
90,1.076,1
91,1.076,1
92,1.076,1
93,1.076,1
94,1.076,1
95,1.076,1
96,1.076,1
97,1.076,1
98,1.076,1
99,1.076,1
100,1.08512,1
101,1.08512,1
102,1.08512,1
103,1.08512,1
104,1.09178,1
105,1.09178,1
106,1.09178,1
107,1.09178,1
108,1.09178,1
109,1.09178,1
110,1.09178,1
111,1.09178,1
112,1.09178,1
113,1.09178,1
114,1.09178,1
115,1.09178,1
116,1.09178,1
117,1.09178,1
118,1.09178,1
119,1.09178,1
120,1.09178,1
121,1.09178,1
122,1.09178,1
123,1.09178,1
124,1.09178,1
125,1.09178,1
126,1.09178,1
127,1.09178,1
128,1.09178,1
129,1.09178,1
130,1.09178,1
131,1.09178,1
132,1.09178,1
133,1.09178,1
134,1.09178,1
135,1.09178,1
136,1.09178,1
137,1.09178,1
138,1.09178,1
139,1.09178,1
140,1.09178,1
141,1.09178,1
142,1.09178,1
143,1.09178,1
144,1.09178,1
145,1.09178,1
146,1.09178,1
147,1.09178,1
148,1.09178,1
149,1.09178,1
150,1.09178,1
151,1.09178,1
152,1.09178,1
153,1.09178,1
154,1.09178,1
155,1.09178,1
156,1.09178,1
157,1.09178,1
158,1.09178,1
159,1.09178,1
160,1.09178,1
161,1.09178,1
162,1.09178,1
163,1.09178,1
164,1.09178,1
165,1.09178,1
166,1.09178,1
167,1.09178,1
168,1.09178,1
169,1.09178,1
170,1.09178,1
171,1.09178,1
172,1.09178,1
173,1.09178,1
174,1.09178,1
175,1.09178,1
176,1.09178,1
177,1.09178,1
178,1.09178,1
179,1.09178,1
180,1.09178,1
181,1.09178,1
182,1.09178,1
183,1.09178,1
184,1.09178,1
185,1.09178,1
186,1.09178,1
187,1.09178,1
188,1.09178,1
189,1.09178,1
190,1.09178,1
191,1.09178,1
192,1.09178,1
193,1.09178,1
194,1.09178,1
195,1.09178,1
196,1.09178,1
197,1.09178,1
198,1.09178,1
199,1.09178,1
200,1.09178,1
201,1.09178,1
202,1.09178,1
203,1.09178,1
204,1.09178,1
205,1.09178,1
206,1.09178,1
207,1.09178,1
208,1.09178,1
209,1.09178,1
210,1.09178,1
211,1.09178,1
212,1.09178,1
213,1.09178,1
214,1.09178,1
215,1.09178,1
216,1.09178,1
217,1.09178,1
218,1.09178,1
219,1.09178,1
220,1.09178,1
221,1.09178,1
222,1.09178,1
223,1.09178,1
224,1.09178,1
225,1.09178,1
226,1.09178,1
227,1.09178,1
228,1.09178,1
229,1.09178,1
230,1.09178,1
231,1.09178,1
232,1.09178,1
233,1.09178,1
234,1.09178,1
235,1.09178,1
236,1.09178,1
237,1.09178,1
238,1.09178,1
239,1.09178,1
240,1.09178,1
241,1.09178,1
242,1.09178,1
243,1.09178,1
244,1.09178,1
245,1.09178,1
246,1.09178,1
247,1.09178,1
248,1.09178,1
249,1.09178,1
250,1.09178,1
251,1.09178,1
252,1.09178,1
253,1.09178,1
254,1.09178,1
255,1.09178,1
256,1.09178,1
257,1.09178,1
258,1.09178,1
259,1.10305,1
260,1.10305,1
261,1.10305,1
262,1.10305,1
263,1.10305,1
264,1.10442,1
265,1.10442,1
266,1.10442,1
267,1.10442,1
268,1.10442,1
269,1.10442,1
270,1.10442,1
