Generation,Train,Test
0,1.05424,1
1,1.05424,1
2,1.05424,1
3,1.05424,1
4,1.05424,1
5,1.05424,1
6,1.07074,1
7,1.07074,1
8,1.07074,1
9,1.08085,0.992033
10,1.08085,0.992033
11,1.08085,0.992033
12,1.08085,0.992033
13,1.08085,0.992033
14,1.08085,0.992033
15,1.08085,0.992033
16,1.08085,0.992033
17,1.08085,0.992033
18,1.08085,0.992033
19,1.08085,0.992033
20,1.08085,0.992033
21,1.08085,0.992033
22,1.09735,0.992033
23,1.09735,0.992033
24,1.09735,0.992033
25,1.09735,0.992033
26,1.09735,0.992033
27,1.09735,0.992033
28,1.09735,0.992033
29,1.09735,0.992033
30,1.09735,0.992033
31,1.09735,0.992033
32,1.09735,0.992033
33,1.10706,0.912364
34,1.11325,0.8999
35,1.11325,0.8999
36,1.12014,0.916863
37,1.12014,0.916863
38,1.12014,0.916863
39,1.12014,0.916863
40,1.12812,0.914431
41,1.12812,0.914431
42,1.12834,0.891777
43,1.13012,0.8999
44,1.13012,0.8999
45,1.13012,0.8999
46,1.13012,0.8999
47,1.13816,0.909669
48,1.13816,0.909669
49,1.13816,0.909669
50,1.14217,0.913807
51,1.14217,0.913807
52,1.14217,0.913807
53,1.1422,0.891777
54,1.1422,0.891777
55,1.15932,0.891777
56,1.15932,0.891777
57,1.15932,0.891777
58,1.15932,0.891777
59,1.15932,0.891777
60,1.15932,0.891777
61,1.15932,0.891777
62,1.15932,0.891777
63,1.16578,0.909669
64,1.16578,0.909669
65,1.16578,0.909669
66,1.16578,0.909669
67,1.16578,0.909669
68,1.16578,0.909669
69,1.16578,0.909669
70,1.21031,0.925579
71,1.21031,0.925579
72,1.21031,0.925579
73,1.21031,0.925579
74,1.21031,0.925579
75,1.21031,0.925579
76,1.21031,0.925579
77,1.21954,0.919086
78,1.21954,0.919086
79,1.21954,0.919086
80,1.21954,0.919086
81,1.21954,0.919086
82,1.21954,0.919086
83,1.21954,0.919086
84,1.21954,0.919086
85,1.21954,0.919086
86,1.22977,0.902042
87,1.22977,0.902042
88,1.22977,0.902042
89,1.22977,0.902042
90,1.22977,0.902042
91,1.22977,0.902042
92,1.22977,0.902042
93,1.22977,0.902042
94,1.22977,0.902042
95,1.22977,0.902042
96,1.22977,0.902042
97,1.22977,0.902042
98,1.22977,0.902042
99,1.22977,0.902042
100,1.22977,0.902042
101,1.22977,0.902042
102,1.22977,0.902042
103,1.22977,0.902042
104,1.22977,0.902042
105,1.22977,0.902042
106,1.22977,0.902042
107,1.22977,0.902042
108,1.22977,0.902042
109,1.22977,0.902042
110,1.22977,0.902042
111,1.22977,0.902042
112,1.22977,0.902042
113,1.22977,0.902042
114,1.22977,0.902042
115,1.22977,0.902042
116,1.22977,0.902042
117,1.22977,0.902042
118,1.22977,0.902042
119,1.22977,0.902042
120,1.22977,0.902042
121,1.22977,0.902042
122,1.22977,0.902042
123,1.22977,0.902042
124,1.23718,0.917531
125,1.23718,0.917531
126,1.23718,0.917531
127,1.23718,0.917531
128,1.23718,0.917531
129,1.23718,0.917531
130,1.23718,0.917531
131,1.23718,0.917531
132,1.23718,0.917531
133,1.23718,0.917531
134,1.23718,0.917531
135,1.23718,0.917531
136,1.23718,0.917531
137,1.23718,0.917531
138,1.23718,0.917531
139,1.23718,0.917531
140,1.23718,0.917531
141,1.23718,0.917531
142,1.23718,0.917531
143,1.23718,0.917531
144,1.23718,0.917531
145,1.23718,0.917531
146,1.23718,0.917531
147,1.23718,0.917531
148,1.23718,0.917531
149,1.23718,0.917531
150,1.23718,0.917531
151,1.23718,0.917531
152,1.23718,0.917531
153,1.23718,0.917531
154,1.23718,0.917531
155,1.23718,0.917531
156,1.23718,0.917531
157,1.23718,0.917531
158,1.23718,0.917531
159,1.23718,0.917531
160,1.23718,0.917531
161,1.23718,0.917531
162,1.23718,0.917531
163,1.23718,0.917531
164,1.23718,0.917531
165,1.23718,0.917531
166,1.23718,0.917531
167,1.23718,0.917531
168,1.23718,0.917531
169,1.23968,0.917531
170,1.23968,0.917531
171,1.23968,0.917531
172,1.23968,0.917531
173,1.23968,0.917531
174,1.24479,0.917531
175,1.24479,0.917531
176,1.24479,0.917531
177,1.24479,0.917531
178,1.24479,0.917531
179,1.24479,0.917531
180,1.24479,0.917531
181,1.24479,0.917531
182,1.24479,0.917531
183,1.24479,0.917531
184,1.24479,0.917531
185,1.24479,0.917531
186,1.24479,0.917531
187,1.24479,0.917531
188,1.24479,0.917531
189,1.24479,0.917531
190,1.24479,0.917531
191,1.24479,0.917531
192,1.24479,0.917531
193,1.24479,0.917531
194,1.24479,0.917531
195,1.24479,0.917531
196,1.24479,0.917531
197,1.24479,0.917531
198,1.24479,0.917531
199,1.24479,0.917531
200,1.24479,0.917531
201,1.24479,0.917531
202,1.24479,0.917531
203,1.24479,0.917531
204,1.24479,0.917531
205,1.24479,0.917531
206,1.24479,0.917531
207,1.24479,0.917531
208,1.24479,0.917531
209,1.24479,0.917531
210,1.24479,0.917531
211,1.24479,0.917531
212,1.24479,0.917531
213,1.24479,0.917531
214,1.24479,0.917531
215,1.24479,0.917531
216,1.24479,0.917531
217,1.24479,0.917531
218,1.24479,0.917531
219,1.24479,0.917531
220,1.24479,0.917531
221,1.24479,0.917531
222,1.24479,0.917531
223,1.24479,0.917531
224,1.24479,0.917531
225,1.24479,0.917531
226,1.24479,0.917531
227,1.24479,0.917531
228,1.24479,0.917531
